#滿分          100   20  100    20
配分百分比      30  100   30   100

#姓名   系級    一   二   三    四
孫雅閔  物理    76   17   98    13
陳雅萍  物理    64   23   62    15
吳光宗  化學    82   20   93    15
陳彥豪  化學    45   18   48    16
趙中德  光電    85   15   54    18
張意珮  電機    54   15   72    18
顧韋雄  數學    98   15   70    13
李法舜  數學    75   18   84    13
楊宏昌  光電    89   17  100    13
李宗龍  物理    60   17   65    15
江珮薰  土木    57   18   70    18
林慧慧  電機    75   15   95    13
陳閩雄  土木    66   19   86    13
周奕欽  大氣    72   17   85    17
李忠昌  數學    36   17   50    13
楊秀萍  化工    72   16   85    18
齊建昌  機械    59   11   60    17
林隆天  化學    50   17   73     8
秦佑東  電機    85   18   93     9
藍雅竹  數學    50   16   79    15
湯文民  數學    47   15   83    15
陳忠枚  機械    80   16   90    15
林夏民  化工   100   19   88    19
